phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
validation,q4_2,shuffle_20260917,2025-01-17,-2915.3780452264036,0.0,-2915.3780452264036,0.0
validation,q4_2,shuffle_20260917,2025-01-13,-2552.781978166735,37.69686445416639,-2590.478842620898,0.0
validation,q4_2,shuffle_20260917,2025-01-24,-2247.5635777570096,210.3533588055534,-2457.916936562564,0.0
validation,q4_2,terminal_0,2025-01-08,-2296.1833333333343,0.0,-2296.1833333333343,0.0
validation,q4_2,terminal_0,2025-01-31,1965.48333333333,-2.2737367544323206e-13,1965.4833333333372,0.0
validation,q4_2,terminal_0,2025-01-09,463.31677783581836,0.0,463.3167778358038,0.0
validation,q4_2,terminal_0,2025-01-26,405.9666666666744,0.0,405.9666666666744,0.0
validation,q4_2,terminal_0,2025-01-20,380.25511248789553,-2.2737367544323206e-13,380.25511248789553,0.0
validation,q4_2,terminal_05,2025-01-12,982.9617070987588,0.0,982.9617070987588,0.0
validation,q4_2,terminal_05,2025-01-19,901.7057465102844,0.0,901.7057465102844,0.0
validation,q4_2,terminal_05,2025-01-11,-630.2438104938192,0.0,-630.2438104938192,0.0
validation,q4_2,terminal_05,2025-01-18,-624.7628644633296,0.0,-624.7628644633296,0.0
validation,q4_2,terminal_05,2025-01-14,-523.3339433096844,0.0,-523.3339433096553,0.0
validation,q4_2,terminal_15,2025-01-08,0.0,0.0,0.0,0.0
validation,q4_2,terminal_15,2025-01-29,0.0,0.0,0.0,0.0
validation,q4_2,terminal_15,2025-01-28,0.0,0.0,0.0,0.0
validation,q4_2,terminal_15,2025-01-27,0.0,0.0,0.0,0.0
validation,q4_2,terminal_15,2025-01-26,0.0,0.0,0.0,0.0
validation,q4_3,horizon_12,2025-01-15,1005.9729581644206,800.330571325001,0.0,205.64238683942233
validation,q4_3,horizon_12,2025-01-29,932.5345037730294,1028.28314749917,0.0,-95.74864372614479
validation,q4_3,horizon_12,2025-01-09,625.5668892921385,0.0,0.0,625.5668892921526
validation,q4_3,horizon_12,2025-01-27,570.0134299086785,-386.95090013932077,0.0,956.9643300479984
validation,q4_3,horizon_12,2025-01-14,-447.0280142753618,-261.29339360000074,0.0,-185.73462067534558
validation,q4_3,horizon_18,2025-01-08,0.0,0.0,0.0,0.0
validation,q4_3,horizon_18,2025-01-29,0.0,0.0,0.0,0.0
validation,q4_3,horizon_18,2025-01-28,0.0,0.0,0.0,0.0
validation,q4_3,horizon_18,2025-01-27,0.0,0.0,0.0,0.0
validation,q4_3,horizon_18,2025-01-26,0.0,0.0,0.0,0.0
validation,q4_3,horizon_24,2025-01-08,0.0,0.0,0.0,0.0
validation,q4_3,horizon_24,2025-01-29,0.0,0.0,0.0,0.0
validation,q4_3,horizon_24,2025-01-28,0.0,0.0,0.0,0.0
validation,q4_3,horizon_24,2025-01-27,0.0,0.0,0.0,0.0
validation,q4_3,horizon_24,2025-01-26,0.0,0.0,0.0,0.0
