phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
formal,q2,shuffle_20260915,2025-06-11,2548.215021011245,3618.8656071312435,-1070.6505861199985,0.0
formal,q2,shuffle_20260915,2025-06-09,2394.9878965289463,3599.1124511166645,-1204.1245545877173,0.0
formal,q2,shuffle_20260915,2025-06-10,2005.7623796097541,3295.668916806251,-1289.9065371964898,0.0
formal,q2,shuffle_20260916,2025-06-05,3639.481643729705,4577.430192670832,-937.9485489411163,0.0
formal,q2,shuffle_20260916,2025-06-11,2894.2744407029095,4076.138007804151,-1181.8635671012526,0.0
formal,q2,shuffle_20260916,2025-06-06,2509.5539724133414,2749.4722196500006,-239.9182472366665,0.0
formal,q2,shuffle_20260916,2025-09-27,-1997.098163294173,-2046.9988948979235,49.90073160374959,0.0
formal,q2,shuffle_20260916,2025-07-14,1862.752969339228,-115.74222554791697,1978.4951948871458,0.0
formal,q2,shuffle_20260917,2025-06-06,4708.03547646667,5253.596792643741,-545.5613161770816,0.0
formal,q2,shuffle_20260917,2025-06-11,4094.7489525275014,5566.135045481235,-1471.3860929537404,0.0
formal,q2,shuffle_20260917,2025-06-05,3516.1231213380743,4345.4353458583355,-829.312224520254,0.0
formal,q2,shuffle_20260917,2025-09-27,-2326.637843107921,-2289.271262543749,-37.366580564168544,0.0
formal,q2,shuffle_20260917,2025-06-10,1789.2962325330882,3108.1716431375016,-1318.8754106044144,0.0
formal,q2,terminal_0,2025-12-31,2292.350000000006,0.0,2292.350000000006,0.0
formal,q2,terminal_0,2025-02-01,-2217.083333333332,0.0,-2217.083333333332,0.0
formal,q2,terminal_0,2025-05-24,-238.43540398838013,12.925709187498796,-251.36111317588075,0.0
formal,q2,terminal_0,2025-05-17,-238.27002954486306,0.0,-238.27002954486306,0.0
formal,q2,terminal_0,2025-05-23,-234.22989574212988,0.0,-234.22989574212625,0.0
formal,q2,terminal_05,2025-12-31,2292.350000000006,0.0,2292.350000000006,0.0
formal,q2,terminal_05,2025-02-01,-2217.083333333332,0.0,-2217.083333333332,0.0
formal,q2,terminal_05,2025-05-24,-238.43540398838013,12.925709187498796,-251.36111317588075,0.0
formal,q2,terminal_05,2025-05-17,-238.27002954486306,0.0,-238.27002954486306,0.0
formal,q2,terminal_05,2025-05-23,-234.22989574212988,0.0,-234.22989574212625,0.0
formal,q2,terminal_15,2025-02-01,0.0,0.0,0.0,0.0
formal,q2,terminal_15,2025-09-15,0.0,0.0,0.0,0.0
formal,q2,terminal_15,2025-09-14,0.0,0.0,0.0,0.0
formal,q2,terminal_15,2025-09-13,0.0,0.0,0.0,0.0
formal,q2,terminal_15,2025-09-12,0.0,0.0,0.0,0.0
formal,q3,horizon_12,2025-07-06,1454.0879297436331,472.6171176437492,0.0,981.4708120998748
formal,q3,horizon_12,2025-08-26,-1437.886022687264,-1176.159268215536,0.0,-261.7267544717321
formal,q3,horizon_12,2025-08-31,1247.0414103669027,1086.241164603769,0.0,160.8002457631327
formal,q3,horizon_12,2025-05-23,1070.006757442774,121.77439375277663,0.0,948.2323636899999
formal,q3,horizon_12,2025-08-05,-1062.039995483814,-588.6803070666701,0.0,-473.3596884171391
formal,q3,horizon_18,2025-10-04,-433.8138818814332,-429.8533417965282,0.0,-3.960540084907464
formal,q3,horizon_18,2025-06-02,-303.3265465009026,-333.6778999784692,0.0,30.351353477568864
formal,q3,horizon_18,2025-06-06,-282.73820974956107,-294.24943883847664,0.0,11.511229088917418
formal,q3,horizon_18,2025-06-01,-262.31993448339927,-287.774554631942,0.0,25.454620148540926
formal,q3,horizon_18,2025-10-09,237.53484460971958,254.0344428374956,0.0,-16.499598227777824
formal,q3,horizon_24,2025-02-01,0.0,0.0,0.0,0.0
formal,q3,horizon_24,2025-09-15,0.0,0.0,0.0,0.0
formal,q3,horizon_24,2025-09-14,0.0,0.0,0.0,0.0
formal,q3,horizon_24,2025-09-13,0.0,0.0,0.0,0.0
formal,q3,horizon_24,2025-09-12,0.0,0.0,0.0,0.0
formal,q4_2,count10_span10,2025-06-03,-12646.663128170258,-16955.516142539247,4308.853014368993,0.0
formal,q4_2,count10_span10,2025-06-05,-7775.838228368593,-12189.507758139587,4413.669529770988,0.0
formal,q4_2,count10_span10,2025-10-15,7033.544633812315,8721.236595212515,-1687.6919614002036,0.0
formal,q4_2,count10_span10,2025-06-04,-6808.82941018774,-11207.154752616672,4398.325342428929,0.0
formal,q4_2,count10_span10,2025-07-04,-5923.234401158032,-6192.3531382041565,269.1187370461266,0.0
formal,q4_2,count10_span20,2025-12-02,-4321.230560776647,-5460.584157243746,1139.3535964670882,0.0
formal,q4_2,count10_span20,2025-06-02,-3939.649666460202,-5805.892430083353,1866.242763623166,0.0
formal,q4_2,count10_span20,2025-06-06,3501.287417669999,2764.4002726729123,736.8871449970866,0.0
formal,q4_2,count10_span20,2025-11-06,3422.613852228067,4108.371947914584,-685.7580956865058,0.0
formal,q4_2,count10_span20,2025-07-04,-3420.1729817896994,-4747.871206302077,1327.6982245123763,0.0
formal,q4_2,count40_span40,2025-06-11,9166.955178994162,13089.744903081239,-3922.7897240870807,0.0
formal,q4_2,count40_span40,2025-06-05,7221.621947254083,9561.820477610421,-2340.1985303563342,0.0
formal,q4_2,count40_span40,2025-07-07,6149.654147886351,1862.1346666833442,4287.519481202995,0.0
