phase,mode,variant,reference,variant_minus_reference_yuan,reference_saving_vs_variant_yuan,reference_saving_vs_variant_percent,variant_cost_change_percent
formal,q4_2,shuffle_20260916,reference,40606.310608409345,40606.310608409345,0.25923762553257523,0.2599114137099651
formal,q4_2,shuffle_20260917,reference,39510.915664788336,39510.915664788336,0.2522620781993804,0.2529000491190554
formal,q4_2,terminal_0,reference,6629.960604075342,6629.960604075342,0.04241881238731855,0.042436813579654065
formal,q4_2,terminal_05,reference,-8570.805096013471,-8570.805096013471,-0.054889813645060896,-0.05485970125727454
formal,q4_2,terminal_15,reference,0.0,0.0,0.0,0.0
formal,q4_3,horizon_12,horizon_24,10729.039631234482,10729.039631234482,0.06515673247709455,0.06519921415463845
formal,q4_3,horizon_18,horizon_24,331.18557327985764,331.18557327985764,0.002012538427589514,0.0020125789315138965
formal,q4_3,horizon_24,horizon_24,0.0,0.0,0.0,0.0
validation,q2,count10_span10,reference,-27030.00858788588,-27030.00858788588,-1.8999546326895873,-1.8645294196039615
validation,q2,count10_span20,reference,38587.47236129083,38587.47236129083,2.5927501606539773,2.661763025781146
validation,q2,count40_span40,reference,1483.105235412484,1483.105235412484,0.10220001242960111,0.10230456771051731
validation,q2,raw_history,reference,76272.24430199806,76272.24430199806,4.9982851296456445,5.26125779567941
validation,q2,reference,reference,0.0,0.0,0.0,0.0
validation,q2,shuffle_20260913,reference,-2588.6887729822192,-2588.6887729822192,-0.17888713133396383,-0.17856769670384118
validation,q2,shuffle_20260914,reference,-4805.108361141058,-4805.108361141058,-0.3325585591326615,-0.3314562729272598
validation,q2,shuffle_20260915,reference,-3785.1597682128195,-3785.1597682128195,-0.26178375862425185,-0.2611002406006306
validation,q2,shuffle_20260916,reference,-4293.111942315707,-4293.111942315707,-0.29701835731875076,-0.2961387708063179
validation,q2,shuffle_20260917,reference,-1963.7615108361933,-1963.7615108361933,-0.13564397103536174,-0.13546022740373778
validation,q2,terminal_0,reference,1616.3172929899301,1616.3172929899301,0.11136936298229043,0.11149353261933503
validation,q2,terminal_05,reference,1720.9151703852694,1720.9151703852694,0.1185679415330413,0.11870869198554936
validation,q2,terminal_15,reference,0.0,0.0,0.0,0.0
validation,q3,horizon_12,horizon_24,2502.1096658883616,2502.1096658883616,0.1692251542295026,0.16951201119187959
validation,q3,horizon_18,horizon_24,-119.1443919991143,-119.1443919991143,-0.00807240230932769,-0.00807175072513575
validation,q3,horizon_24,horizon_24,0.0,0.0,0.0,0.0
validation,q4_2,count10_span10,reference,-42832.33516912791,-42832.33516912791,-2.6526940168804716,-2.5841445685237017
validation,q4_2,count10_span20,reference,28245.916328628082,28245.916328628082,1.675568421198878,1.7041221538677398
validation,q4_2,count40_span40,reference,6479.82301172195,6479.82301172195,0.38941590419311967,0.39093828003114
validation,q4_2,raw_history,reference,14610.952990391292,14610.952990391292,0.8738000299114683,0.8815025998930038
validation,q4_2,reference,reference,0.0,0.0,0.0,0.0
validation,q4_2,shuffle_20260913,reference,-31109.26079046307,-31109.26079046307,-1.912772693139177,-1.8768723905673366
validation,q4_2,shuffle_20260914,reference,-31886.45596537483,-31886.45596537483,-1.9614963602796744,-1.9237618417728506
validation,q4_2,shuffle_20260915,reference,-36470.25467570941,-36470.25467570941,-2.249812738576361,-2.2003098864625708
validation,q4_2,shuffle_20260916,reference,-32822.6930774604,-32822.6930774604,-2.020252533315259,-1.980246552178975
validation,q4_2,shuffle_20260917,reference,-32238.898839375004,-32238.898839375004,-1.983606951558423,-1.945025294605067
validation,q4_2,terminal_0,reference,5799.501209530048,5799.501209530048,0.34867337227192385,0.3498933572399679
validation,q4_2,terminal_05,reference,619.7171246972866,619.7171246972866,0.03737457004572863,0.03738854385324014
validation,q4_2,terminal_15,reference,0.0,0.0,0.0,0.0
validation,q4_3,horizon_12,horizon_24,3834.6575589999557,3834.6575589999557,0.22741369549874374,0.2279320441836476
validation,q4_3,horizon_18,horizon_24,0.0,0.0,0.0,0.0
validation,q4_3,horizon_24,horizon_24,0.0,0.0,0.0,0.0
