phase,mode,variant,month,total_cost_yuan,emergency_cost_yuan,emergency_share
formal,q3,horizon_18,2025-11,1429395.9337299739,150835.30418918584,0.10552380948474142
formal,q3,horizon_18,2025-12,1846368.770617474,179090.8223460218,0.09699623671934678
formal,q3,horizon_24,2025-02,1378152.046487797,143875.02735037898,0.10439706396477998
formal,q3,horizon_24,2025-03,1311677.0454406354,176856.92902480226,0.13483267824160955
formal,q3,horizon_24,2025-04,1115950.9693586263,167757.08575697293,0.1503265738040341
formal,q3,horizon_24,2025-05,1159026.8012629512,187036.10245818523,0.16137340590776544
formal,q3,horizon_24,2025-06,1505530.7150251437,183450.49229371143,0.12185104592213361
formal,q3,horizon_24,2025-07,1715803.9141169307,202650.9844488246,0.1181084754391195
formal,q3,horizon_24,2025-08,1460836.0632026081,136022.0920077475,0.09311249594259377
formal,q3,horizon_24,2025-09,1375302.56896889,202109.04964064946,0.1469560620338093
formal,q3,horizon_24,2025-10,1334589.7090315085,210043.63233686457,0.15738442377866832
formal,q3,horizon_24,2025-11,1429223.6792504438,150721.79210557928,0.1054571053459073
formal,q3,horizon_24,2025-12,1846391.9644579228,179106.68818494113,0.09700361116851186
formal,q4_2,count10_span10,2025-02,1329144.5487126685,39883.887970621494,0.030007186208039365
formal,q4_2,count10_span10,2025-03,1220128.2416384132,98701.13794466454,0.08089406881700127
formal,q4_2,count10_span10,2025-04,1008756.7989986388,91807.63994708746,0.09101067773542842
formal,q4_2,count10_span10,2025-05,1058383.0242837663,99889.59778801874,0.0943794406147212
formal,q4_2,count10_span10,2025-06,1610583.3370252945,189559.89055267916,0.1176964185552741
formal,q4_2,count10_span10,2025-07,1840731.0064319707,136287.2811421072,0.07403975956611022
formal,q4_2,count10_span10,2025-08,1545022.1015163807,110193.71951405753,0.07132177553052903
formal,q4_2,count10_span10,2025-09,1244092.2717089658,103630.26593272081,0.08329789380523002
formal,q4_2,count10_span10,2025-10,1224530.1888670751,106848.39284929787,0.08725664244190917
formal,q4_2,count10_span10,2025-11,1381386.3063950604,49214.89061478955,0.03562717422849178
formal,q4_2,count10_span10,2025-12,2003466.1136552598,90226.9873875905,0.04503544470885722
formal,q4_2,count10_span20,2025-02,1349094.8821451762,28464.850897349985,0.02109922087324832
formal,q4_2,count10_span20,2025-03,1231709.4730413314,118362.8805308812,0.09609642786835122
formal,q4_2,count10_span20,2025-04,1008218.4017248284,94332.46225235416,0.09356351966099126
formal,q4_2,count10_span20,2025-05,1079036.7944736914,129571.5466479687,0.12008074915662931
