phase,mode,variant,days,intervals,total_cost_yuan,emergency_kwh,emergency_cost_yuan,emergency_cost_share,unused_surplus_kwh,throughput_kwh,net_adjustment_yuan,sequential_cost_yuan,initial_soc,terminal_soc,solves,solver_seconds,median_seconds,p95_seconds,max_seconds,simulation_seconds,audit_seconds,failures,max_lp_residual,min_actual_scenarios,max_actual_scenarios,max_physical_residual,passed,export_seconds
formal,q4_2,shuffle_20260915,334,48096,15660238.634317923,337544.1052117441,1362834.2083162395,0.08702512395498993,3287694.2363664173,12728767.568827154,0.0,15660238.634317923,6000.0,6000.0,334,11.665368621996095,0.03504483349934162,0.0383956124010183,0.08201695799834852,15.815609958001005,1.5205884169990895,0,0.0,20,20,1.0231815394945443e-12,True,11.158781583000746
formal,q4_2,shuffle_20260916,334,48096,15663741.142894723,338612.31568403065,1367071.017722134,0.08727614975572137,3289355.415036429,12723045.282708447,0.0,15663741.142894723,6000.0,6000.0,334,11.456272461011395,0.03500808349963336,0.03794131709946669,0.039929667000251357,15.519200208998882,1.5276101670006028,0,0.0,20,20,1.0231815394945443e-12,True,11.110443290999683
formal,q4_2,shuffle_20260917,334,48096,15662645.747951102,340232.25750996836,1371354.6734445377,0.08755574859527998,3280839.641922217,12722675.130185401,0.0,15662645.747951102,6000.0,6000.0,334,11.865029677996063,0.03609808349938248,0.03947581460097353,0.04935441700035881,16.059812541998326,1.5868044999988342,0,0.0,20,20,1.0231815394945443e-12,True,12.308685374999186
formal,q4_2,terminal_0,334,48096,15629764.792890389,302240.98266972206,1226465.8368545054,0.07846988442285426,3395880.604456364,12504131.5810445,0.0,15629764.792890389,6000.0,6000.0,334,18.279713796993747,0.052152145500258484,0.07658333520048473,0.25611058399954345,24.90814337499978,2.7302847080009087,0,0.0,20,20,1.0231815394945443e-12,True,17.821070333000534
formal,q4_2,terminal_05,334,48096,15614564.0271903,302179.2292863887,1226217.6407798491,0.07853037962792843,3396193.9972869204,12457446.173820069,0.0,15614564.0271903,6000.0,6000.0,334,25.783267709008214,0.07855254149944813,0.08926199394945797,0.3012646660008613,35.407827416000146,2.644367584000065,0,0.0,20,20,1.0231815394945443e-12,True,16.652553750000152
formal,q4_2,terminal_15,334,48096,15623134.832286313,301847.56977805536,1225008.840068472,0.07840992561473033,3397835.897210531,12735625.047678294,0.0,15623134.832286313,6000.0,6000.0,334,35.018397658006506,0.08533814600014011,0.21705001030059062,0.49924825000016426,48.43009162499948,1.6522069579987146,0,0.0,20,20,1.0231815394945443e-12,True,16.339327040999706
formal,q4_3,horizon_12,334,48096,16466509.63506528,461866.8726726363,2001969.1184544107,0.12157823138130232,3210827.4722715663,12654137.393379109,-65037.67787289484,17474381.766078003,6000.0,6000.0,1336,48.36444604900498,0.029179270499298582,0.0653496767499746,0.15627700000004552,63.32375720799973,5.3951892080003745,0,2.1032064978498966e-12,20,20,1.8189894035458565e-12,True,17.527284042000247
formal,q4_3,horizon_18,334,48096,16456111.781007325,461221.4443492632,2003296.7919175946,0.12173573068637525,3199461.0634246957,12624725.538096577,-76763.20539403398,16554938.401820209,6000.0,6000.0,1336,59.462161766970894,0.04201772899978096,0.05826745799959099,0.2683548750010232,75.4169729589994,5.341502041001149,0,2.1032064978498966e-12,20,20,1.8189894035458565e-12,True,20.236767166999925
formal,q4_3,horizon_24,334,48096,16455780.595434045,461100.4099214854,2002965.6063443157,0.12171805492472808,3199340.028996918,12624725.538096577,-76763.20539403398,16554607.216246929,6000.0,6000.0,1336,49.30965922797441,0.03531187500084343,0.05128666675000204,0.13690479199976835,61.86740637500043,4.932371917000637,0,3.637978807091713e-12,20,20,3.637978807091713e-12,True,15.166432207999605
validation,q2,count10_span10,24,3456,1422666.000694029,4756.22776527777,16950.935284674288,0.011914908542416136,320237.736076389,1067069.4433461805,0.0,1422666.000694029,6000.0,6000.0,24,1.0476047919983102,0.043708375000278465,0.048482826700092116,0.04969324999910896,1.5694101669996599,0.2655308339999465,0,0.0,6,10,1.0231815394945443e-12,True,1.2487280419991293
