mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-09-23,12,power_kw,1.2,6000.0,46030.8381910709,45988.29869066924,-0.09241522004245493,4088.746727314817,600.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,terminal_multiplier,0.8,0.8,41488.97410091643,40782.701453090536,-1.7023140801408434,1745.644933333333,1939.6054814814815,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,terminal_multiplier,0.9,0.9,41488.97410091643,41170.229453090535,-0.7682635079155868,1745.644933333333,1939.6054814814815,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,terminal_multiplier,1.0,1.0,41488.97410091643,41488.97410091643,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,terminal_multiplier,1.1,1.1,41488.97410091643,41550.10622544012,0.14734547153419192,2544.6567722222208,2860.3945185185203,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,terminal_multiplier,1.2,1.2,41488.97410091643,41550.10622544012,0.14734547153419192,2544.6567722222208,2860.3945185185203,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,power_kw,0.8,4000.0,41488.97410091643,43880.52769603726,5.764311234362394,10961.757232177126,1650.0,2.2737367544323206e-13,7.958078640513122e-13
q3,2025-09-23,18,power_kw,0.9,4500.0,41488.97410091643,42200.661716040646,1.7153656617132524,4823.595264609053,900.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-09-23,18,power_kw,1.0,5000.0,41488.97410091643,41488.97410091643,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,18,power_kw,1.1,5500.0,41488.97410091643,41372.254840094145,-0.2813259747960394,2816.474350000003,612.8296524999969,7.958078640513122e-13,9.094947017729282e-13
